"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","375","Trying to get deleted user data","chromium","2026-06-28","passed","2026-06-28","","api/users.api.spec.ts","",""
"","386","Delete user data","chromium","2026-06-28","passed","2026-06-28","","api/users.api.spec.ts","",""
"","2956","verify search results count - imac - iMac","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","271","mock search page with fake HTML","chromium","2026-06-28","passed","2026-06-28","","api/intercept.spec.ts","",""
"","3867","verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2590","invalid login test with - invalid1@open.com - wrong123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","334","GET -- get all users","chromium","2026-06-28","passed","2026-06-28","","api/users.api.schema.spec.ts","",""
"","329","@smoke GET API -- get all users","chromium","2026-06-28","passed","2026-06-28","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2734","@smoke Home Page Headers Test","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
"","3736","verify user is able to land on the product page - imac - iMac","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","399","Create user data","chromium","2026-06-28","passed","2026-06-28","","api/users.api.spec.ts","",""
"","692","GET -- get a user","chromium","2026-06-28","passed","2026-06-28","","api/users.api.schema.spec.ts","",""
"","2556","@smoke comp logo exists on product page","chromium","2026-06-28","passed","2026-06-28","","productpage.spec.ts","",""
"","2430","invalid login test with JSON Data - pwtestbatch@open.com - wrong@123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","237","mock search data api","chromium","2026-06-28","passed","2026-06-28","","api/intercept.spec.ts","",""
"","2514","invalid login test with Excel Data- pwbatchtest1@open.com -","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","381","DELETE API -- Delete a user","chromium","2026-06-28","passed","2026-06-28","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2587","footers exist on product page","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2464","Home Page Title Test","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
